遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,114000001,2025/01/01,30963675,1238547,20855000,2,7,8,10,14
39樂合彩,114000002,2025/01/02,31295875,1251835,7699375,12,26,30,32,33
39樂合彩,114000003,2025/01/03,29509250,1180370,14003875,5,6,8,11,14
39樂合彩,114000004,2025/01/04,33217700,1328708,21229250,8,9,12,21,23
39樂合彩,114000005,2025/01/06,34563350,1382534,17004875,7,21,22,27,35
39樂合彩,114000006,2025/01/07,30151225,1206049,15133125,13,23,27,31,37
39樂合彩,114000007,2025/01/08,33042150,1321686,14498625,12,18,20,24,31
39樂合彩,114000008,2025/01/09,32279725,1291189,18135500,2,8,19,21,29
39樂合彩,114000009,2025/01/10,31417200,1256688,25048125,9,11,15,18,20
39樂合彩,114000010,2025/01/11,35444600,1417784,23226875,5,12,13,19,34
39樂合彩,114000011,2025/01/13,35713800,1428552,20765000,4,12,28,35,38
39樂合彩,114000012,2025/01/14,31227650,1249106,16971375,10,22,31,35,36
39樂合彩,114000013,2025/01/15,32239725,1289589,21515500,3,21,22,26,39
39樂合彩,114000014,2025/01/16,31644925,1265797,20963000,9,13,23,29,34
39樂合彩,114000015,2025/01/17,30463450,1218538,17850125,4,7,8,24,26
39樂合彩,114000016,2025/01/18,33807225,1352289,14179125,7,12,18,35,39
39樂合彩,114000017,2025/01/20,34457950,1378318,10777375,3,12,19,32,34
39樂合彩,114000018,2025/01/21,29803800,1192152,13721125,1,14,18,19,22
39樂合彩,114000019,2025/01/22,33458400,1338336,13566000,6,19,23,26,30
39樂合彩,114000020,2025/01/23,32719375,1308775,14532625,4,7,17,22,35
39樂合彩,114000021,2025/01/24,31833550,1273342,17038875,5,9,12,14,31
39樂合彩,114000022,2025/01/25,32085025,1283401,20194500,1,7,32,36,37
39樂合彩,114000023,2025/01/26,20659725,826389,11672500,7,8,9,17,20
39樂合彩,114000024,2025/01/27,29330025,1173201,13901875,1,6,16,26,31
39樂合彩,114000025,2025/01/28,28430800,1137232,17047000,13,22,23,24,35
39樂合彩,114000026,2025/01/29,29396325,1175853,26855625,4,11,25,31,32
39樂合彩,114000027,2025/01/30,29741675,1189667,18124750,9,11,14,18,27
39樂合彩,114000028,2025/01/31,30032750,1201310,11120250,1,5,9,14,26
39樂合彩,114000029,2025/02/01,30644800,1225792,23700625,1,10,23,32,37
39樂合彩,114000030,2025/02/02,26971125,1078845,13168375,9,16,29,32,39
39樂合彩,114000031,2025/02/03,28142300,1125692,9777000,4,16,21,23,37
39樂合彩,114000032,2025/02/04,29363625,1174545,10481000,1,8,16,19,31
39樂合彩,114000033,2025/02/05,30381000,1215240,16502625,6,7,8,14,39
39樂合彩,114000034,2025/02/06,29884075,1195363,14445250,3,7,22,29,34
39樂合彩,114000035,2025/02/07,29594625,1183785,9015500,16,21,26,29,37
39樂合彩,114000036,2025/02/08,29169775,1166791,19945750,8,24,28,37,38
39樂合彩,114000037,2025/02/09,23292700,931708,18038750,4,5,27,35,37
39樂合彩,114000038,2025/02/10,29340975,1173639,14180000,12,22,26,28,35
39樂合彩,114000039,2025/02/11,29231275,1169251,12749250,10,18,19,27,28
39樂合彩,114000040,2025/02/12,27809500,1112380,8533000,2,6,19,28,29
39樂合彩,114000041,2025/02/13,29335175,1173407,35042625,2,7,11,20,30
39樂合彩,114000042,2025/02/14,30929775,1237191,12599750,11,17,29,34,39
39樂合彩,114000043,2025/02/15,33338350,1333534,16166375,6,8,10,21,26
39樂合彩,114000044,2025/02/17,33351825,1334073,18258125,9,15,29,30,39
39樂合彩,114000045,2025/02/18,28692600,1147704,17814125,10,12,13,19,33
39樂合彩,114000046,2025/02/19,32314450,1292578,18569000,3,27,28,33,38
39樂合彩,114000047,2025/02/20,31137300,1245492,19713875,3,7,17,24,27
39樂合彩,114000048,2025/02/21,29660075,1186403,13444625,11,13,18,30,35
39樂合彩,114000049,2025/02/22,32434075,1297363,23871125,4,7,11,19,22
39樂合彩,114000050,2025/02/24,32530400,1301216,19915875,8,17,18,24,36
39樂合彩,114000051,2025/02/25,28743850,1149754,15740500,5,11,26,33,35
39樂合彩,114000052,2025/02/26,32924850,1316994,14042875,3,11,24,27,36
39樂合彩,114000053,2025/02/27,33514275,1340571,20436500,11,12,20,28,29
39樂合彩,114000054,2025/02/28,30576650,1223066,17785875,5,27,31,38,39
39樂合彩,114000055,2025/03/01,33737975,1349519,12644875,4,16,29,31,34
39樂合彩,114000056,2025/03/03,34089700,1363588,21125125,8,9,12,22,27
39樂合彩,114000057,2025/03/04,27239700,1089588,21398625,11,18,21,23,36
39樂合彩,114000058,2025/03/05,33911400,1356456,12368125,15,23,29,36,39
