遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
49樂合彩,114000001,2025/01/03,10303450,412138,4970000,6,9,15,29,30,48
49樂合彩,114000002,2025/01/07,10213425,408537,5073750,1,8,20,26,29,35
49樂合彩,114000003,2025/01/10,10579600,423184,5995000,14,29,35,36,37,49
49樂合彩,114000004,2025/01/14,10515275,420611,4386250,1,3,13,15,37,48
49樂合彩,114000005,2025/01/17,10709575,428383,4918750,11,18,32,39,44,49
49樂合彩,114000006,2025/01/21,10738675,429547,6367500,6,21,35,36,38,42
49樂合彩,114000007,2025/01/24,11294875,451795,5043750,6,22,23,30,36,37
49樂合彩,114000008,2025/01/25,6728625,269145,6138750,2,3,10,12,34,40
49樂合彩,114000009,2025/01/26,8113925,324557,6955000,7,12,16,31,40,43
49樂合彩,114000010,2025/01/27,8047925,321917,6472500,11,22,30,35,37,38
49樂合彩,114000011,2025/01/28,8976525,359061,6180000,4,8,20,26,31,34
49樂合彩,114000012,2025/01/29,8707350,348294,3253750,15,17,22,26,32,42
49樂合彩,114000013,2025/01/30,8520950,340838,8033750,5,8,27,29,30,48
49樂合彩,114000014,2025/01/31,9486600,379464,6640000,7,11,13,23,39,42
49樂合彩,114000015,2025/02/01,8927900,357116,5555000,2,9,10,18,39,40
49樂合彩,114000016,2025/02/02,8902050,356082,6127500,10,16,25,28,33,37
49樂合彩,114000017,2025/02/03,7820900,312836,3375000,7,20,29,32,33,39
49樂合彩,114000018,2025/02/04,8666450,346658,4845000,15,17,21,26,30,47
49樂合彩,114000019,2025/02/05,8098375,323935,3478750,3,6,13,32,33,41
49樂合彩,114000020,2025/02/06,7796375,311855,4827500,2,5,18,19,42,45
49樂合彩,114000021,2025/02/07,8726200,349048,10965000,14,22,25,44,46,49
49樂合彩,114000022,2025/02/08,7718725,308749,3071250,3,6,23,26,40,43
49樂合彩,114000023,2025/02/09,7390900,295636,2837500,4,6,13,14,22,25
49樂合彩,114000024,2025/02/10,7519500,300780,4415000,1,18,28,34,35,43
49樂合彩,114000025,2025/02/11,8586750,343470,5142500,7,19,25,27,34,35
49樂合彩,114000026,2025/02/12,7994600,319784,4411250,12,30,31,37,47,49
49樂合彩,114000027,2025/02/14,9942450,397698,9255000,8,11,14,29,33,45
49樂合彩,114000028,2025/02/18,9627350,385094,6371250,5,9,10,31,35,37
49樂合彩,114000029,2025/02/21,10204850,408194,6403750,2,7,27,30,38,49
49樂合彩,114000030,2025/02/25,9859425,394377,4372500,13,15,24,37,38,43
49樂合彩,114000031,2025/02/28,10148125,405925,6962500,7,19,25,26,38,39
49樂合彩,114000032,2025/03/04,9367750,374710,4421250,7,21,31,36,46,47
49樂合彩,114000033,2025/03/07,9972625,398905,4642500,5,7,26,30,40,48
49樂合彩,114000034,2025/03/11,10474925,418997,7427500,2,18,25,37,38,47
49樂合彩,114000035,2025/03/14,10824225,432969,6032500,6,7,13,17,21,23
49樂合彩,114000036,2025/03/18,9681800,387272,4601250,7,8,13,17,29,36
49樂合彩,114000037,2025/03/21,10055325,402213,2887500,13,25,29,40,46,47
49樂合彩,114000038,2025/03/25,9582000,383280,3443750,17,24,40,41,46,48
49樂合彩,114000039,2025/03/28,10414575,416583,6780000,1,7,11,15,27,30
49樂合彩,114000040,2025/04/01,9817175,392687,6733750,4,16,18,29,35,37
49樂合彩,114000041,2025/04/04,9767500,390700,5088750,7,20,29,40,43,47
49樂合彩,114000042,2025/04/08,10181350,407254,5862500,10,26,33,39,45,46
49樂合彩,114000043,2025/04/11,10537475,421499,8286250,6,10,11,17,23,32
49樂合彩,114000044,2025/04/15,10199775,407991,5507500,18,28,37,41,43,46
49樂合彩,114000045,2025/04/18,10321925,412877,5837500,2,8,15,22,29,45
49樂合彩,114000046,2025/04/22,9606750,384270,7016250,1,6,14,19,35,49
49樂合彩,114000047,2025/04/25,9926200,397048,5246250,20,21,24,25,31,35
49樂合彩,114000048,2025/04/29,9896900,395876,9802500,7,11,24,26,30,42
49樂合彩,114000049,2025/05/02,10268750,410750,9598750,2,5,39,43,45,47
49樂合彩,114000050,2025/05/06,10152575,406103,6053750,5,8,9,25,30,45
49樂合彩,114000051,2025/05/09,10181600,407264,6988750,15,27,33,42,48,49
49樂合彩,114000052,2025/05/13,10158625,406345,4203750,1,23,29,41,45,49
49樂合彩,114000053,2025/05/16,10408775,416351,6336250,13,16,22,23,34,39
49樂合彩,114000054,2025/05/20,10050450,402018,4640000,2,11,15,26,29,48
49樂合彩,114000055,2025/05/23,10172725,406909,4562500,1,7,11,24,44,48
49樂合彩,114000056,2025/05/27,9832750,393310,3810000,16,17,26,29,32,40
49樂合彩,114000057,2025/05/30,9735525,389421,12833750,3,4,13,21,38,46
49樂合彩,114000058,2025/06/03,9366050,374642,3598750,9,24,32,40,41,49
49樂合彩,114000059,2025/06/06,9818900,392756,5878750,11,13,15,39,42,46
49樂合彩,114000060,2025/06/10,9177175,367087,5148750,3,5,12,16,22,48
49樂合彩,114000061,2025/06/13,8726875,349075,10455000,1,2,10,13,20,27
49樂合彩,114000062,2025/06/17,9059325,362373,4061250,13,20,21,26,31,44
49樂合彩,114000063,2025/06/20,9098200,363928,3120000,4,20,31,40,42,48
49樂合彩,114000064,2025/06/24,8625200,345008,3807500,3,8,20,37,45,49
49樂合彩,114000065,2025/06/27,9196050,367842,4450000,4,8,9,14,21,39
49樂合彩,114000066,2025/07/01,9047925,361917,4267500,8,9,21,25,33,34
49樂合彩,114000067,2025/07/04,9442275,377691,4115000,5,13,15,18,33,37
49樂合彩,114000068,2025/07/08,9418225,376729,10072500,6,8,12,14,25,35
49樂合彩,114000069,2025/07/11,10192525,407701,7403750,15,16,26,34,48,49
49樂合彩,114000070,2025/07/15,9927025,397081,8602500,32,33,41,45,46,49
49樂合彩,114000071,2025/07/18,10502575,420103,6203750,2,25,36,37,38,46
49樂合彩,114000072,2025/07/22,9932700,397308,9775000,5,17,19,26,27,39
49樂合彩,114000073,2025/07/25,10136400,405456,4940000,2,4,23,35,41,47
