遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,26,28
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,26,29
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,26,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,26,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,26,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,28,29
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,28,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,28,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,28,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,16,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,28,29
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,28,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,28,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,28,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,26,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,28,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,29,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,29,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,29,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,14,33,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,28,29
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,28,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,28,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,28,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,26,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,28,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,29,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,29,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,29,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,16,33,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,28,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,29,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,29,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,29,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,26,33,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,28,29,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,28,29,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,28,29,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,28,33,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,13,29,33,43,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,28,29
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,28,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,28,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,28,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,29,33
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,29,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,29,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,33,43
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,33,45
春節加碼活動,114000007,2025/01/24,309408250,6188165,537013182,12,14,16,26,43,45
