遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,114000001,2025/1/1,38067300,761346,13061450,2,7,8,10,14
今彩539,114000002,2025/1/2,35607250,712145,23921700,12,26,30,32,33
今彩539,114000003,2025/1/3,36570750,731415,28155900,5,6,8,11,14
今彩539,114000004,2025/1/4,39956000,799120,36628150,8,9,12,21,23
今彩539,114000005,2025/1/6,42485850,849717,27186500,7,21,22,27,35
今彩539,114000006,2025/1/7,36877300,737546,25738950,13,23,27,31,37
今彩539,114000007,2025/1/8,40172500,803450,10521300,12,18,20,24,31
今彩539,114000008,2025/1/9,36613600,732272,18797950,2,8,19,21,29
今彩539,114000009,2025/1/10,37475650,749513,37021600,9,11,15,18,20
今彩539,114000010,2025/1/11,40435150,808703,27963500,5,12,13,19,34
今彩539,114000011,2025/1/13,42802050,856041,12408350,4,12,28,35,38
今彩539,114000012,2025/1/14,37117050,742341,16696050,10,22,31,35,36
今彩539,114000013,2025/1/15,38671150,773423,33607700,3,21,22,26,39
今彩539,114000014,2025/1/16,36551200,731024,27632850,9,13,23,29,34
今彩539,114000015,2025/1/17,38185700,763714,19972350,4,7,8,24,26
今彩539,114000016,2025/1/18,41159400,823188,35096500,7,12,18,35,39
今彩539,114000017,2025/1/20,43505000,870100,18254700,3,12,19,32,34
今彩539,114000018,2025/1/21,37794950,755899,16897850,1,14,18,19,22
今彩539,114000019,2025/1/22,41183650,823673,9778600,6,19,23,26,30
今彩539,114000020,2025/1/23,38322900,766458,18176950,4,7,17,22,35
今彩539,114000021,2025/1/24,40236500,804730,36370100,5,9,12,14,31
今彩539,114000022,2025/1/25,39843300,796866,17603100,1,7,32,36,37
今彩539,114000023,2025/1/26,27378000,547560,8681150,7,8,9,17,20
今彩539,114000024,2025/1/27,39350700,787014,9974300,1,6,16,26,31
今彩539,114000025,2025/1/28,44243650,884873,11898600,13,22,23,24,35
今彩539,114000026,2025/1/29,48694350,973887,23500450,4,11,25,31,32
今彩539,114000027,2025/1/30,47458650,949173,38188950,9,11,14,18,27
今彩539,114000028,2025/1/31,45929950,918599,37198100,1,5,9,14,26
今彩539,114000029,2025/2/1,47089400,941788,38904000,1,10,23,32,37
今彩539,114000030,2025/2/2,39829750,796595,17554550,9,16,29,32,39
今彩539,114000031,2025/2/3,41128050,822561,17792050,4,16,21,23,37
今彩539,114000032,2025/2/4,41924650,838493,10019950,1,8,16,19,31
今彩539,114000033,2025/2/5,41703000,834060,19334250,6,7,8,14,39
今彩539,114000034,2025/2/6,41732800,834656,27039700,3,7,22,29,34
今彩539,114000035,2025/2/7,40532550,810651,16423000,16,21,26,29,37
今彩539,114000036,2025/2/8,37738550,754771,19356400,8,24,28,37,38
今彩539,114000037,2025/2/9,28702100,574042,7990700,4,5,27,35,37
今彩539,114000038,2025/2/10,40588250,811765,18473300,12,22,26,28,35
今彩539,114000039,2025/2/11,40881250,817625,9703050,10,18,19,27,28
今彩539,114000040,2025/2/12,40149950,802999,9592550,2,6,19,28,29
今彩539,114000041,2025/2/13,38961650,779233,31837700,2,7,11,20,30
今彩539,114000042,2025/2/14,41840400,836808,34067400,11,17,29,34,39
今彩539,114000043,2025/2/15,43777900,875558,28416850,6,8,10,21,26
今彩539,114000044,2025/2/17,49282600,985652,29542350,9,15,29,30,39
今彩539,114000045,2025/2/18,38360050,767201,10140650,10,12,13,19,33
今彩539,114000046,2025/2/19,43864100,877282,19458400,3,27,28,33,38
今彩539,114000047,2025/2/20,44686950,893739,21164150,3,7,17,24,27
今彩539,114000048,2025/2/21,39697450,793949,18432650,11,13,18,30,35
今彩539,114000049,2025/2/22,42267600,845352,38608150,4,7,11,19,22
今彩539,114000050,2025/2/24,51256050,1025121,14988050,8,17,18,24,36
今彩539,114000051,2025/2/25,40267300,805346,35390850,5,11,26,33,35
今彩539,114000052,2025/2/26,45459000,909180,37564500,3,11,24,27,36
今彩539,114000053,2025/2/27,42813250,856265,28993700,11,12,20,28,29
今彩539,114000054,2025/2/28,40850500,817010,18366750,5,27,31,38,39
今彩539,114000055,2025/3/1,47633350,952667,11242100,4,16,29,31,34
今彩539,114000056,2025/3/3,46401600,928032,31625700,8,9,12,22,27
今彩539,114000057,2025/3/4,34594350,691887,10713250,11,18,21,23,36
今彩539,114000058,2025/3/5,42618500,852370,17006450,15,23,29,36,39
今彩539,114000059,2025/3/6,37468800,749376,10012500,8,12,15,18,34
今彩539,114000060,2025/3/7,39159600,783192,19727750,9,10,19,33,35
今彩539,114000061,2025/3/8,42593600,851872,27183450,17,23,24,27,35
今彩539,114000062,2025/3/10,46271250,925425,42575550,2,4,7,25,37
